PMID,Title,Authors,Year,Journal,Abstract,PRELIM_DECISION,Missing_Performance_Metric,Reviewer_1_Decision,Reviewer_2_Decision,Conflict
40835961,A development of machine learning models to preoperatively predict insufficient clinical improvement after total knee arthroplasty.,Gimm G; Jeon B; Kim SE; Kim BS; Han HS; Kim S,2025,Journal of orthopaedic surgery and research,"Identifying patients unlikely to achieve meaningful improvement following total knee arthroplasty (TKA) supports more effective shared decision-making (SDM). This study aimed to develop and validate machine learning (ML) models that preoperatively predict insufficient clinical improvement one year after TKA using Western Ontario and McMaster Universities Osteoarthritis Index (WOMAC) subscales and total scores, and to assess the important predictive variables. A retrospective analysis was performed on consecutive primary TKA patients from 2004 to 2022 at a single tertiary hospital was conducted. Insufficient clinical improvement was defined as not achieving the minimal clinically important difference (MCID) for each WOMAC subscale and total. Candidate preoperative variables included demographics, comorbidities, knee range of motion, radiologic variables, and WOMAC scores. A variety of ML models were evaluated using performance metrics for calibration and discrimination, as well as decision curve analysis and Shapley additive explanations. Among the 3,810 TKAs included, the ExtraTrees model performed best for WOMAC pain, stiffness, function, and total scores, achieving AUCs of 0.92, 0.90, 0.87, and 0.89; recall rates of 0.79, 0.86, 0.70, and 0.83; and Brier scores of 0.09, 0.10, 0.11, and 0.06, respectively, along with demonstrating good calibration curves and net clinical benefit. Shapley additive explanations identified better preoperative WOMAC scores, osteoporosis, diabetes mellitus, older age, malignancy, and coronary artery disease as important predictors of insufficient clinical improvement. The ML models demonstrated good performance in preoperatively predicting insufficient clinical improvement at 1 year after TKA based on WOMAC. These models have the potential to enhance SDM and perioperative patient management by preoperatively identifying approximately 70% to over 80% of patients likely to experience insufficient clinical improvement, with a specificity of about 80%, and by providing explanations regarding associated factors.",PRELIM_INCLUDE,N,,,
40836303,AI-assisted 3D versus conventional 2D preoperative planning in total hip arthroplasty for Crowe type II-IV high hip dislocation: a two-year retrospective study.,Lu Z; Yuan C; Xu Q; Feng Y; Xia Q; Wang X; Zhu J; Wu J; Wang T; Chen J; Wang X; Wang Q,2025,Journal of orthopaedic surgery and research,"With the growing complexity of total hip arthroplasty (THA) for high hip dislocation (HHD), artificial intelligence (AI)-assisted three-dimensional (3D) preoperative planning has emerged as a promising tool to enhance surgical accuracy. This study compared clinical outcomes of AI-assisted 3D versus conventional two-dimensional (2D) X-ray preoperative planning in such cases. A retrospective cohort of 92 patients with Crowe type II-IV HHD who underwent THA between May 2020 and January 2023 was analyzed. Patients received either AI-assisted 3D preoperative planning (n = 49) or 2D X-ray preoperative planning (n = 43). The primary outcome was the accuracy of implant size prediction. Secondary outcomes included operative time, blood loss, leg length discrepancy (LLD), implant positioning, functional scores (Harris Hip Score [HHS], WOMAC, VAS), complications, and implant survival at 24 months. At 24 months, both groups demonstrated significant improvements in functional outcomes. Compared to the 2D X-ray group, the AI-3D group showed higher accuracy in implant size prediction (acetabular cup: 59.18% vs. 30.23%; femoral stem: 65.31% vs. 41.86%; both p < 0.05), a greater proportion of cups placed within the Lewinnek and Callanan safe zones (p < 0.05), shorter operative time, reduced intraoperative blood loss, and more effective correction of leg length discrepancy (all p < 0.05). No significant differences were observed in HHS, WOMAC, or VAS scores between groups at 24 months (all p > 0.05). Implant survivorship was also comparable (100% vs. 97.7%; p = 0.283), with one revision noted in the 2D X-ray group. AI-assisted 3D preoperative planning improves prosthesis selection accuracy, implant positioning, and perioperative outcomes in Crowe type II-IV HHD THA, although 2-year functional and survival outcomes were comparable to 2D X-ray preoperative planning. Considering the higher cost, radiation exposure, and workflow complexity, its broader application warrants further investigation, particularly in identifying patients who may benefit most.",PRELIM_INCLUDE,N,,,
40828997,Preoperative Patient-Reported Outcomes Predict Candidacy for Outpatient Total Knee Arthroplasty.,Gunda B; Strecker S; Magaldi RJ; Allen DA; Witmer D,2025,Journal of the American Academy of Orthopaedic Surgeons. Global research & reviews,"The incidence of total knee arthroplasty (TKA), an effective orthopaedic procedure for end-stage osteoarthritis, is increasing substantially. The shift toward performing this procedure in the outpatient setting necessitates precise patient selection criteria to ensure optimal postoperative outcomes. This study examines the predictive value of preoperative patient-reported outcome measures (PROMs), including the Brief Resilience Scale (BRS), in determining candidacy for outpatient TKA. A retrospective analysis of 2,167 patients undergoing elective primary, unilateral TKA from May 2020 to June 2023 was conducted. Preoperative PROMs, including Knee Injury and Osteoarthritis Outcome Score for Joint Replacement (KOOS, JR), Patient-Reported Outcomes Measurement Information System (PROMIS)-10, Risk Assessment and Prediction Tool (RAPT), and BRS, were collected. Patients were stratified into three groups by BRS score: low (BRS score < 3), average (BRS score ≥ 3 and < 4.3), and high (BRS score ≥ 4.3) resilience. Length of stay (LOS), discharge disposition, and complications were assessed postoperatively. Logistic regression and receiver operative characteristic (ROC) curve analyses were used to assess the predictive validity of PROMs for discharge to a skilled nursing facility (SNF) in conjunction with extended LOS. Patients with low resilience (BRS score < 3) were found to have a significantly higher likelihood of discharge to a SNF and extended LOS compared with the other two groups (11.5% vs. 1.6%, P < 0.001). Logistic regression demonstrated that BRS, RAPT, and PROMIS-10 scores were also notable predictors, with a combined model predicting an extended LOS and discharge to SNF with 82.4% sensitivity and 79.9% specificity. Preoperative PROMs such as BRS can serve as a valuable tool in predicting the failure of outpatient TKA. Incorporating preoperative PROMs into presurgical decision making can enhance patient selection for ambulatory procedures and improve surgical outcomes. Additional prospective studies are warranted to validate these findings within other elective surgical populations and to determine how to best modify resilience.",NEEDS_REVIEW,,,,
40823272,Acetabular revision with moderate-to-severe bone loss using a trabecular titanium cup-cage construct with impaction grafting.,Vasios I; Makiev K; Iliopoulos E; Tilkeridis K; Drosos G,2025,Orthopedic reviews,"Total hip arthroplasty (THA) is one of the most commonly performed procedures the last decades in the field of orthopaedics. However, there has been a subsequent increase in revision rates for various reasons with instability and aseptic loosening being the predominant ones. Revision surgeries pose many challenges to the treating orthopaedic surgeons as well as significant burdens on patients and on healthcare systems globally. After a revision procedure, in addition to the best possible functional outcomes, longer lifespan of the implants, the least possible bone loss and restoration of as much as possible of bone stock should also be of priority. A case series of 11 patients with aseptic loosening of the acetabular component having moderate-to-severe acetabular bone loss is presented. All patients were managed with a trabecular titanium cup-cage construct in conjunction with impaction of morselized allograft. This study assessed 11 patients (mean age 67.9 years) with Paprosky 2B-3B acetabular defects undergoing revision surgery (mean follow-up: 54.6 months). Functional outcomes improved significantly, including Harris Hip Score (44.8% to 80.7%), HOOS-JR (49.9% to 70.4%), and Forgotten Joint Score (13.6% to 81.8%). VAS and EQ-5D-5L scores also showed marked improvement. Logistic regression found no significant impact of age, sex, or ASA score on outcomes (p = 0.6). These results demonstrate notable functional recovery post-surgery. Revision surgery for aseptic loosening of the acetabular component using a trabecular titanium cup-cage construct with morselized allograft demonstrates excellent functional improvement and patient satisfaction. The procedure is effective in managing moderate-to-severe acetabular bone loss (Paprosky 2B-3B), restoring function and quality of life. Despite the challenges associated with such revisions, these findings highlight the efficacy and reliability of this approach in addressing complex cases without being significantly influenced by patient demographics or preoperative risk factors.",NEEDS_REVIEW,,,,
40815938,Patient satisfaction following medial unicompartmental knee arthroplasty at one year: a mixed methods study.,Heegaard J; Mørup-Petersen A; Mongelard K; Kappel A; Mortensen JF; Odgaard A,2025,The Knee,"We aimed to (1) determine the frequency of dissatisfaction 1-year postoperatively in medial unicompartmental knee arthroplasty (mUKA) patients, (2) determine associations between preoperative factors and dissatisfaction, (3) gain insight into causes for dissatisfaction by performing interviews and supplementary questions of dissatisfied and satisfied patients more than 3 years postoperatively. In the first part of the study, data concerning 336 UKA patients from a prospective cohort study (SPARK) was analyzed. Using ordinal logistic regression, associations between baseline factors and patient satisfaction was investigated. In the second part, a qualitative study was conducted 3.4-years postoperatively: Matched satisfied and dissatisfied patients participated in interviews and completed questionnaires. 298 patients responded 1 year post surgery. Dissatisfaction was more frequent in younger patients (p: 0.04), patients with lower Ahlbäck score (p: 0.0003) and when operated on by one specific surgeon (surgeon no. 8) (p: 0.01). 9 dissatisfied patients participated in interviews, as did 9 matched satisfied patients. Based on interviews, we found that patient dissatisfaction was related to (1) expectations to the knee arthroplasty, (2) information and communication, (3) follow-up and rehabilitation, (4) pain and discomfort. Dissatisfied patients recalled less participation in preoperative decision-making (p: 0.02) and that they did not feel adequately seen or heard (p: 0.01). High rates of patient satisfaction were noted 1-year postoperatively. Among interviewed dissatisfied patients, 6 of 9 expressed other reasons than knee symptoms as the reason for dissatisfaction. This study points to factors related to the surgeon, age and severity of osteoarthritis as factors that may influence short-term mUKA results. II, prospective cohort study.",PRELIM_EXCLUDE,,,,
40815937,"Postoperative knee pain, satisfaction, and revision after total knee arthroplasty with and without primary patella resurfacing.",Righolt CH; Poitras C; Sniderman J; Turgeon TR; Bohm ER,2025,The Knee,"Patella resurfacing during total knee arthroplasty (TKA) remains controversial. We performed a large cohort study to assess pain, function, and revision risk between patients with and without primary patella resurfacing. We identified 10,846 primary TKAs in 2005-2024. We ascertained patella-related pain and function from Oxford knee score questions and patient satisfaction at year one and two. We used logistic regression to estimate the association between patella status and these outcomes. We identified revision TKA and used Cox proportional hazard models to estimate its association with patella resurfacing. Around 78 % of patients had primary patella resurfacing during their TKA, 96 % of resurfaced patellas were done with a posterior-stabilized knee system versus 48 % of unresurfaced patellas. We observed no difference in patella-related pain and function by patella status. Patella-related pain had an adjusted odds ratio [OR] of 0.94 (95 % confidence interval [CI] 0.79-1.12) for resurfaced patellas at year one, the OR for patella-related functional issues was 0.98 (95 % CI 0.78-1.22). The hazard ratio for five years of follow up for revision was 0.75 (95 % CI 0.50-1.12). Patients with and without primary patella resurfacing had similar patella-related pain and functional outcomes in the first two postoperative years. Unresurfaced patellas had higher revision rates, although this was not statistically significant. A small subset of patients with unresurfaced patellas may have unfavorable outcomes, but these patients may also have been revised in an attempt to reduce anterior knee pain that would have been present with primary patella resurfacing.",NEEDS_REVIEW,,,,
40803561,"Chronic Pain Diagnosis Before Total Knee Arthroplasty Leads to Higher Readmission Risk, Lower Patient-Reported Outcome Measures, and Dissatisfaction at One Year: An Analysis of 13,894 Patients.",Mabarak D; Khan ST; Elmenawi KA; Pasqualini I; Jin Y; Deren ME; Piuzzi NS,2026,The Journal of arthroplasty,"Patients who have chronic pain may experience worse outcomes after total knee arthroplasty (TKA), yet its impact on postoperative metrics remains unclear. This study evaluated the prevalence of chronic pain diagnoses and their association with health care utilization, patient-reported outcome measures, and satisfaction. A retrospective analysis of 13,894 primary unilateral TKAs performed from 2016 to 2022 at a tertiary center was conducted. Chronic pain diagnoses were identified via International Classification of Diseases, 9th Revision (338.2, 338.4) and 10th Revision (G89.2, G89.4) codes. Outcomes were compared using multivariable logistic regression. The patient-reported outcome measures included Knee injury and Osteoarthritis Outcome Score (KOOS) Pain, Physical Function Shortform, Joint Replacement (JR), and Veterans RAND 12-Item Mental Component Score. Minimal clinically important difference and patient acceptable symptom state thresholds were assessed. Chronic pain was present in 23.4% (3,258 of 13,894) of patients. These patients had higher odds of 90-day readmission (OR [odds ratio] 1.27, 95% CI [confidence interval]: 1.1 to 1.46; P < 0.001) but were less likely to have a length of stay ≥ two days (OR 0.85, 95% CI: 0.76 to 0.95; P = 0.004). There was no significant association found with nonhome discharge (P = 0.301). Patients who had chronic pain had increased odds of failing to reach minimal clinically important difference in KOOS JR (OR 1.2, 95% CI: 1.0 to 1.43; P = 0.049) and Veterans RAND 12-Item Mental Component Score (OR 1.15, 95% CI: 1.03 to 1.29; P = 0.01). They were also more likely to fail patient acceptable symptom state thresholds in KOOS Pain (OR 1.25; P < 0.001), Physical Function Shortform (OR 1.22; P < 0.001), and JR (OR 1.28; P < 0.001). In addition, chronic pain patients had higher odds of dissatisfaction at one year (OR 1.17, 95% CI: 1.04 to 1.32; P = 0.011). Chronic pain was independently associated with increased 90-day readmission risk and poorer postoperative outcomes, including failure to reach clinically relevant pain relief, functional improvement, and satisfaction. These findings highlight the need for targeted preoperative optimization strategies for chronic pain patients undergoing TKA. III (prospective).",NEEDS_REVIEW,,,,
40783992,The role of preoperative nutritional status in predicting surgical outcomes after total knee arthroplasty: A CONUT-based analysis.,Yavuz Veizi BG; Güven Ş; Demir C; Erdoğan Y; Veizi E; Fırat A,2025,Joint diseases and related surgery,"This study aims to investigate the association between the preoperative Controlling Nutritional Status (CONUT) score and two important postoperative outcomes, surgical site infection (SSI) and prolonged hospital stay, in patients aged 60 years and older undergoing total knee arthroplasty (TKA). Between February 2019 and December 2023, a total of 268 patients (54 males, 214 females; mean age: 68.2±5.9 years; range, 60 to 87 years) aged ≥60 years who underwent elective primary TKA were retrospectively analyzed. The nutritional status was assessed using the CONUT score, and patients were categorized as at nutritional risk (CONUT ≥2) or normal (CONUT 0-1). Primary outcomes were postoperative infection and length of hospitalization. Multivariate logistic regression was used to adjust for confounding variables including age, body mass index (BMI), American Society of Anesthesiologists (ASA) score, Visual Analog Scale (VAS), hemoglobin, C-reactive protein (CRP), and surgery duration. Of the patients, 27.2% (n=73) were at nutritional risk. These patients had significantly higher rates of postoperative infection (11% vs. 3.1%, p=0.010) and longer hospital stays (5.5±1.7 vs. 1.5±0.5 days, p<0.001). A higher CONUT score was independently associated with increased risk of infection (adjusted odds ratio [OR]=4.12; 95% confidence interval [CI]: 1.33-12.7; p=0.014) and prolonged hospitalization (adjusted OR=4.03; 95% CI: 3.75-4.30; p<0.001). The CONUT score is a valuable tool for preoperative risk assessment in TKA. High CONUT scores are associated with an increased risk of postoperative infection and prolonged hospitalization. Routine nutritional assessment using the CONUT score prior to surgery in older adults may help improve surgical outcomes, reduce complications and lower healthcare costs.",NEEDS_REVIEW,,,,
40780453,A virtual knee replacement (vKR) multi-component endpoint for knee osteoarthritis based on patient-reported PROs: Data from the Osteoarthritis Initiative.,Kwoh CK; Boudreau RM; Eckstein F; Roemer FW; Hannon MJ; Guermazi A; Hunter DJ,2025,Osteoarthritis and cartilage,"To use patient-reported outcomes (PROs) and performance measures to develop a multi-component outcome (virtual knee replacement [vKR]) that predicts knee replacement (KR). Osteoarthritis Initiative (OAI) participants with baseline radiographs, clinical assessments and health insurance were followed for 60 months. Of 8205 knees (4143 participants), 206 knees (187 participants) had KR. Eighteen clinical measures available at annual visits were considered, (e.g., Knee injury and Osteoarthritis Outcome Score knee pain (KOOS KP), frequency, severity, and Quality of Life (QoL), frequent knee pain, knee pain severity, SF12 Mental Health and Physical Health subscales, physical activity, depression, 20-meter walk and chair stands). Combinations of these were evaluated utilizing logistic regression to predict KRs in the next year. Sensitivity, specificity, and area under the receiver operating characteristic curve (AUC) were assessed. The most accurate models for predicting KR incorporated KOOS KP and KOOS QoL at a specific annual visit, and KOOS KP worsening over the previous year combined as weighted sums. Per 10 points of these assessments the odds of vKR increased by 30 % to 65 %. AUCs ranged from 0.87 to 0.92 (vKR1). Constraining KOOS KP and KOOS QoL to be worse at follow-up than at baseline, AUCs exceeded 0.85 (vKR2). When KOOS KP and KOOS QoL remained unchanged or worsened over one year, AUCs were >0.80 (vKR3). The three vKR criteria represent potential clinical multi-component outcomes for clinical trials of knee OA. After further validation, any of them may serve as a standalone clinical outcome or in combination with actual knee replacement.",NEEDS_REVIEW,,,,
40772185,Evaluating the Effect of Total Hip Arthroplasty on Bone Mineral Density in Postmenopausal Women Using an Artificial Intelligence-Assisted Osteoporosis Diagnostic System.,Ishikura H; Moro T; Tanaka T; Kaminaga N; Kato K; Iiboshi M; Tanaka S,2025,Cureus,"Total hip arthroplasty (THA) alleviates pain and improves walking ability and quality of life in patients with hip osteoarthritis (OA). However, its effect on systemic bone mineral density (BMD) remains unclear. In this study, we investigated the effect of THA on systemic BMD in postmenopausal women with hip OA using an artificial intelligence (AI)-assisted osteoporosis diagnostic support system that estimates BMD solely using posteroanterior chest radiographs. This retrospective observational study included postmenopausal Japanese women aged 50-59 years who underwent bilateral THA on separate occasions at our institution between 2007 and 2023. BMD was estimated using our AI-assisted osteoporosis diagnostic system that uses posteroanterior chest radiographs obtained approximately one month before each THA. The rate of change was compared with age-specific BMD reference values for the Japanese population. A total of 59 patients were included, with a mean age of 54.9 years and an average interval between unilateral THA of 2.1 years. Among those who underwent an initial THA at ages 50-54 years, the estimated BMD decreased by 1.52% and 0.81% annually in the lumbar spine and proximal femur, respectively. For patients who underwent an initial THA at ages 55-59 years, the estimated BMD decreased by 0.00% and 0.80% annually in the lumbar spine and proximal femur, respectively. These rates were lower than the reported rates of annual BMD decline in Japanese women aged 50-54 years (1.77%, lumbar spine; 1.27%, proximal femur) and 55-59 years (1.28%, lumbar spine; 0.88%, proximal femur). THA has the potential to attenuate age-related BMD decline in postmenopausal women with hip OA.",PRELIM_EXCLUDE,,,,
40735538,Evaluation of neuropathic-like symptoms and objective signs of neuropathy post-knee replacement in patients with knee osteoarthritis.,Driscoll D; Ballal P; Wang N; Frey-Law L; Lewis CE; Nevitt M; Neogi T,2025,Osteoarthritis and cartilage open,"Why persistent pain post-knee replacement occurs is not understood. We examined the association of clinical measures of neuropathy and presence of 'neuropathic-like pain' with pain post-knee replacement. Participants with a knee replacement from the NIH-funded longitudinal cohort Multicenter Osteoarthritis (MOST) Study were examined ∼12-months post-surgery using clinical assessments of neuropathy (von Frey 2 ​g and 26 ​g monofilaments and pin prick) and the painDETECT questionnaire (PDQ; score ≥13 was considered neuropathic-like pain). We evaluated the relation of the clinical neuropathy assessments and the PDQ to achievement of the patient acceptable symptom state (PASS) post-knee replacement using WOMAC, and of the objective clinical neuropathy assessments to neuropathic-like pain on the PDQ using logistic regression. This cohort study evaluated 171 participants post-knee replacement (mean age 69, 62 ​% female, mean BMI 32.6). Overall, 57 ​% had any abnormality on ≥1 clinical neuropathy assessment (51 ​% hypoesthesia, 10 ​% allodynia/hyperalgesia), and 7 ​% had neuropathic-like pain. There was no association between presence of any abnormality on clinical assessment and not achieving the PASS (OR 1.4, 95 ​% CI 0.5-4.12). In contrast, higher PDQ scores were significantly associated with not achieving the PASS. There was no association between any abnormality on the clinical assessments of neuropathy with PDQ score ≥13 (OR 0.65 (95 ​% CI 0.14-3.02). Objective clinical assessments of neuropathy were not associated with worse pain status post-knee replacement, while PDQ scores were. PDQ was not associated with clinical assessments of neuropathy. PDQ may be reflective of pain severity in general, and potentially nociplastic, rather than neuropathic, pain.",NEEDS_REVIEW,,,,
40731331,Key factors for successful 24-h discharge following Enhanced Recovery After Surgery protocols in total knee arthroplasty.,Ng EC; Xu S; Liu XE; Lim JBT; Liow MHL; Pang HN; Tay DKJ; Yeo SJ; Chen JY,2025,Singapore medical journal,"Total knee arthroplasty (TKA) remains the gold standard treatment for end-stage knee osteoarthritis. With rising TKA numbers, effective resource management, such as reducing length of stay, is crucial. While prior studies have focused on patient characteristics, this study aimed to investigate the influence of demographics and pre- and immediate postoperative patient-reported outcome measures (PROMs) on successful 24-h discharge using Enhanced Recovery After Surgery (ERAS) protocols. Patients who underwent TKA with ERAS from August 2020 to July 2021 were followed up. Successful protocol completion was defined as discharge within 24 hours of surgery. Baseline characteristics and PROMs were recorded. Outcomes measures were compared between patients who successfully completed or failed the ERAS protocol, and variables were imputed into a binary logistic regression. Of 342 patients, 315 (92.1%) completed the ERAS protocol for TKA. Logistic regression analysis showed that higher postoperative pain scores and American Society of Anesthesiology (ASA) class > 2 significantly reduced the likelihood of passing the ERAS protocol (postoperative visual analogue scale odds ratio 0.742, P = 0.004; ASA > 2 odds ratio 0.196, P = 0.02). The model demonstrated satisfactory goodness of fit and accurately classified 80.1% of patients at the optimal cut-off. Receiver operating characteristic curve analysis showed good probability of discriminating between patients (area under the curve = 0.741). Immediate postoperative pain scores and ASA class may be useful adjuncts in predicting successful 24-h discharge after TKA using ERAS protocol.",NEEDS_REVIEW,,,,
40715844,Factors contributing to instability after primary total knee arthroplasty: a twenty five Year retrospective cohort study.,Ergin M; Budin M; Çiloğlu O; Forero F; Gehrke T; Çıtak M,2025,International orthopaedics,"Total knee arthroplasty (TKA) is a highly effective procedure for end-stage knee osteoarthritis, but postoperative instability remains a major concern, impacting patient satisfaction and leading to potential revision surgeries. Understanding patient-related risk factors for instability is crucial for optimizing outcomes and minimizing complications. We conducted a retrospective cohort study of patients who underwent revision TKA at our clinic between 1996 and 2021, focusing on those who required revision specifically due to instability. We analyzed a dataset of 39,572 primary TKA patients without documented revisions and 859 revision patients. Data extraction included age, gender, body mass index (BMI), age-adjusted Charlson Comorbidity Index (CCI) score, and comorbidities. Statistical analyses, including binary logistic regression, were performed to identify independent risk factors for instability. The instability group (n = 859) had a mean age of 65.7 years and a significantly lower proportion of males compared to the control group (mean age 67.5 years, p < 0.001; males 30.7% vs. 38.1%, p < 0.001). Notable risk factors included younger age, female gender, stroke, deep vein thrombosis (DVT), and scleroderma. Specifically, scleroderma was associated with a high risk of instability (P < 0.01 OR [odds ratio] 9.27, CI [confidence interval] 2.01 to 42.7), stroke (P = 0.01 OR 1.8, CI: 1.1 to 3.1), and DVT (p < 0.01 OR: 2.0, CI: 1.4 to 2.8). Patient-related factors such as younger age, female gender, stroke, DVT, and scleroderma significantly influence the risk of instability following primary TKA. These findings highlight the multifactorial nature of TKA instability and underscore the importance of tailored preoperative assessment and postoperative care. Addressing these risk factors can improve patient outcomes and reduce the incidence of instability following TKA.",NEEDS_REVIEW,,,,
40703570,Predicting periprosthetic joint Infection: Evaluating supervised machine learning models for clinical application.,Dragosloveanu S; Vulpe DE; Andrei CA; Nedelea DG; Garofil ND; Anghel C; Dragosloveanu CDM; Cergan R; Scheau C,2025,Journal of orthopaedic translation,"Periprosthetic joint infection (PJI) is a serious complication that can occur after joint arthroplasty, such as hip or knee replacement surgeries. It involves the invasion of the periprosthetic space by pathogens, leading to severe inflammation and often requiring complex medical intervention. PJI is associated with significant morbidity, increased healthcare costs, and a reduced quality of life for patients. This study aims to evaluate the performance of multiple supervised machine learning models in predicting PJI using clinical and demographic data collected from patients who underwent joint arthroplasty. Eight supervised machine learning models-Logistic Regression, Random Forest, XGBoost, Artificial Neural Network (ANN), k-Nearest Neighbors (KNN), AdaBoost, Gaussian Naive Bayes (GNB), and Stochastic Gradient Descent (SGD)-were trained and tested on a dataset of 27,854 patients. Models were evaluated using accuracy, precision, recall, specificity, F1 score, and area under the ROC curve (AUC). Random Forest and XGBoost showed the best overall performance, with high accuracy and balanced metrics across all evaluation criteria. KNN also performed strongly, particularly in minimizing misclassifications. GNB and SGD yielded weaker results, with higher error rates. Random Forest, XGBoost, and KNN are the most promising models for clinical implementation in PJI prediction. Their robust performance may support earlier diagnosis and improved patient outcomes in orthopedic care. This study demonstrates that machine learning models-particularly Random Forest and XGBoost-can accurately predict periprosthetic joint infection (PJI) using structured electronic health record data. By integrating these models into preoperative assessment workflows, clinicians may be able to identify high-risk patients earlier, personalize prophylactic strategies, and reduce infection-related morbidity. The implementation of these predictive tools has the potential to enhance clinical decision-making, improve surgical outcomes, and optimize the use of healthcare resources in orthopedic practice.",PRELIM_EXCLUDE,,,,
40694122,[Update 2025: Biomechanics and kinematics after total knee arthroplasty (TKA)].,Heinecke M; Bauer L; Jacob B; Kirschberg J; Steinbrück A; Matziolis G; Woiczinski M,2025,"Orthopadie (Heidelberg, Germany)","In order to optimise clinical outcomes after primary total knee arthroplasty (TKA), research has refocused on the knee joint's biomechanical characteristics. Beyond implant design and alignment philosophy, the restoration of natural joint kinematics, functional range of motion, and stability critically depends on patient-specific anatomical conditions. Instrumented TKA systems have demonstrated the significance of coronal alignment and mediolateral load distribution. Furthermore, patellofemoral joint alignment has gained attention as a determinant of postoperative success. While static radiographic assessments remain the gold standard, they can be meaningfully complemented by instrumented gait analysis to capture dynamic leg alignment and quantify the influence of the external knee adduction moment. Furthermore, computational simulations facilitate a more precise analysis of implant-specific loading conditions and kinematic behaviour. In combination with experimental approaches, such as in vitro kinematic testing, these tools facilitate a detailed evaluation of complex movement and load scenarios, thereby supporting the development of personalised therapeutic and rehabilitative strategies. Furthermore, the development of novel classifications of kinematic phenotypes holds great potential for the systematic categorisation of patients and the personalisation of interventions, with the aim of enhancing functional outcomes and satisfaction. The use of subject-specific musculoskeletal models and finite element analysis (FEA) permits the simulation of joint mechanics under individual anatomical constraints, thus contributing to the optimisation of implant positioning and the reduction of biomechanical load. In the future, the integration of artificial intelligence and machine learning into preoperative planning is expected to refine patient-specific treatment algorithms. The clinical translation of these biomechanical insights will ultimately require validation in larger patient cohorts in order to substantiate their efficacy and long-term benefit.",PRELIM_EXCLUDE,,,,
40682167,Visualized load-bearing-based robot control system improves early function in femoral neck fracture patients: a randomized controlled trial focusing on outcomes after total hip arthroplasty.,Liu X; Huang C; Lin L; Zhang J; Zhu Z,2025,Journal of orthopaedic surgery and research,"After total hip arthroplasty (THA), standing and walking balance are greatly affected in the early recovery period, making it important to increase weight-bearing amount (WBA) on the surgical side. Sometimes, traditional treatment methods may not be sufficient to satisfactorily improve WBA and weight-bearing ratio (WBR) on the surgical side. This study aims to evaluate the effectiveness of a visualized load-bearing-based robot control system in promoting early functional recovery of elderly patients after THA. The system senses lower limb weight and displays it in real-time on the screen to provide visual guidance for weight-bearing. A total of 126 patients with femoral neck fractures who underwent THA from July 2023 to June 2024 were selected and randomly divided into a robot group or a control group. As a result, each group was allocated 63 patients. The robot group used an intelligent weight-bearing robot for rehabilitation, while the control group used conventional walking aids for rehabilitation. Patients underwent rehabilitation for 5-7 days during their hospital stay and then continued with home-based rehabilitation after discharge. All measurements were taken one month after surgery to analyze the impact of the two rehabilitation methods on early postoperative function. The main outcome measures included VAS scores, hip joint extension-flexion range of motion (ROM), Harris scores, time for straight leg raising, and 3-minute walking distance. There were no statistically significant differences between the two groups in terms of age, gender, surgical time, blood loss, length of hospital stay, time to weight-bearing, and preoperative VAS score (P > 0.05). At the 1-month postoperative follow-up, the robot group demonstrated superior outcomes compared to the control group in terms of VAS score, ROM of the hip joint, Harris score, time for straight leg raising, and 3-minute walking distance, with statistically significant differences (P < 0.05). The WBR for the first postoperative weight-bearing on the operated side of the patient was (36.9 ± 14.0)%; it was (49.1 ± 11.1)% in the second week, (61.9 ± 8.4)% in the third week, (74.7 ± 5.8)% in the fourth week, (87.5 ± 4.0)% in the fifth week, and (100.0 ± 0.0)% in the sixth week. There were significant differences in WBR between every two postoperative weeks (p < 0.05). The WBR on the operated side of all patients reached 100% by the end of the sixth week postoperatively. This study demonstrates that a robot control system based on visualized load-bearing can effectively enhance early functional recovery after THA in a short postoperative period, making it a valuable intelligent rehabilitation system. This is beneficial for improving the ability to perform daily activities after THA and may contribute to optimizing the effectiveness of medical care. This study has been registered in national medical research registration and filing information system of China, www.medicalresearch.org.cn , Trail registration number: MR-35-24-038086.",NEEDS_REVIEW,,,,
