#,decision,year,title,authors,source,doi,abstract_decision_reason,reviewer1,reviewer2,final_decision,exclusion_reason
19,borderline,2023,"An AI-based patient-specific clinical decision support system for OA patients choosing surgery or not: study protocol for a single-centre, parallel-group, non-inferiority randomised controlled trial",Nanna Kastrup; Helene H. Bjerregaard; Mogens Berg Laursen; Jan Brink Valentin; Søren Paaske Johnsen; Cathrine Elgaard Jensen,Trials,10.1186/s13063-022-07039-5,"This is a study protocol for a randomized controlled trial using an AI system (ERVIN.2) to predict Oxford hip/knee scores and HRQoL for TKA/THA patients; while the protocol describes PROM outcomes (Oxford scores, EQ-5D-3L) and AI-based prediction, it is a protocol document without actual results, making it unclear whether the AI model's predictive accuracy for PROMs will be formally evaluated as a primary analysis.",,,,
20,borderline,2023,An Interpretable Machine Learning Model for Predicting 10-Year Total Hip Arthroplasty Risk,Seong J. Jang; Mark Alan Fontana; Kyle N. Kunze; Christopher G. Anderson; Thomas P. Sculco; David J. Mayman; Seth A. Jerabek; Jonathan M. Vigdorchik; Peter K. Sculco,The Journal of Arthroplasty,10.1016/j.arth.2023.03.087,"No abstract available to verify whether the study develops ML models to predict patient-reported outcomes (PROM) following THA; the title suggests THA risk prediction but does not clarify if PROMs are the outcome measure or if clinical outcomes (e.g., need for revision) are predicted instead.",,,,
21,borderline,2023,Clinical phenotypes and prognostic factors in persons with hip osteoarthritis undergoing total hip arthroplasty: protocol for a longitudinal prospective cohort study (HIPPROCLIPS),Abner Sergooris; Jonas Verbrugghe; Thomas Matheve; Maaike Van Den Houte; Bruno Bonnechère; Kristoff Corten; Katleen Bogaerts; Annick Timmermans,BMC Musculoskeletal Disorders,10.1186/s12891-023-06326-9,"This is a study protocol (not yet completed research with results) that describes planned use of ML methods (gradient boosting, recurrent neural networks) to predict PROM outcomes (HOOS) in THA patients, but the abstract does not confirm that the ML models have been developed, validated, or benchmarked—only that they will be used; therefore, it is unclear whether this meets the criterion of developing/validating/benchmarking ML models.",,,,
22,borderline,2023,Development of a machine learning algorithm to identify surgical candidates for hip and knee arthroplasty without in-person evaluation,Alexander M. Crawford; Aditya V. Karhade; Nicole Agaronnik; Harry M. Lightsey; Grace X. Xiong; Joseph H. Schwab; Andrew J. Schoenfeld; Andrew K. Simpson,Archives of Orthopaedic and Trauma Surgery,10.1007/s00402-023-04827-9,No abstract available to assess whether the study develops ML models that predict PROMs (criterion 3) versus clinical decision-making for surgical candidacy; full text review needed to determine relevance.,,,,
23,borderline,2023,PROMIS cluster analysis predicts two-year outcomes in knee surgery patients,Justin Kung; Samir Kaveeshwar; Michael S. Rocca; Daniel Rivkin; Jacob Hartline; Jonathan D. Packer; Sean J. Meredith; Natalie L. Leong; R. Frank Henn,Journal of Orthopaedics,10.1016/j.jor.2023.04.001,No abstract available to assess whether the study develops/validates ML models (criterion 2) and whether PROMIS is used as a primary outcome measure for TKA patients (criteria 1 and 3); full text review needed.,,,,
24,borderline,2023,Patient-Specific Pain Model for Identifying Patients at Risk Following TKA,Ricardo Antunes; Paul Mazhuvanchary Jacob; B. Marchand; E. A. Justice; Kelly Taylor; Emily Hampp; Matthias Verstraete,Journal of Orthopaedic Experience & Innovation,10.60118/001c.74712,"The study involves TKA patients and develops a predictive model for pain outcomes, but the abstract does not explicitly confirm whether the pain scores constitute a validated PROM (e.g., KOOS pain subscale, numeric pain rating scale as part of a PROM) or are simply raw pain assessments; additionally, the modeling approach is not clearly described as AI/ML (e.g., no mention of random forest, neural networks, or other explicit ML methods), making it unclear if criterion 2 is met.",,,,
25,borderline,2023,SMART choice (knee) tool: a patient-focused predictive model to predict improvement in health-related quality of life after total knee arthroplasty.,Zhou Y,ANZ J Surg,10.1111/ans.18250,"The study develops multiple models including ML methods (extreme gradient boosted trees, random forest) alongside logistic regression to predict a PROM outcome (utility score improvement, measured via Veterans-RAND 12) in TKA patients, meeting all three criteria; however, the abstract emphasizes that logistic regression (a non-ML statistical method) performed best and was selected as the final model, creating ambiguity about whether ML prediction of PROMs is truly a primary focus or merely a comparison point—full text review needed to clarify the study's primary intent and whether",,,,
26,borderline,2023,Using Presurgical Biopsychosocial Features to Develop an Advanced Clinical Decision-Making Support Tool for Predicting Recovery Trajectories in Patients Undergoing Total Knee Arthroplasty: Protocol for a Prospective Observational Study,Karen Ribbons; Sarah J. Johnson; Elizabeth Ditton; Adrian Wills; Gillian Mason; Traci Flynn; Jodie A. Cochrane; Michael Pollack; Frederick R. Walker; Michael Nilsson,JMIR Research Protocols,10.2196/48801,"The study meets criteria 1 (TKA procedure) and 3 (PROM outcomes including quality of life, patient-reported knee symptoms, satisfaction, mood status), but criterion 2 is ambiguous—the abstract states ""machine learning data analysis techniques will be applied"" and mentions ""predictive model"" development, but this is a protocol paper with results only showing recruitment completion (n=1050), not actual model development, validation, or performance metrics, making it unclear whether ML models were actually developed and evaluated.",,,,
27,borderline,2024,Artificial Intelligence for Clinically Meaningful Outcome Prediction in Orthopedic Research: Current Applications and Limitations,Seong J. Jang; Jake Rosenstadt; Eugenia Lee; Kyle N. Kunze,Current Reviews in Musculoskeletal Medicine,10.1007/s12178-024-09893-z,No abstract available to assess whether the paper develops/validates AI/ML models predicting PROMs specifically for TKA/THA patients; full text review needed to determine relevance against all three criteria.,,,,
28,borderline,2024,Comprehensive analysis of total knee arthroplasty kinematics and functional recovery: Exploring full-body gait deviations in patients with knee osteoarthritis,Xavier Gasparutto; Alice Bonnefoy‐Mazure; Michaël Attias; Katia Turcot; Stéphane Armand; Hermès H. Miozzari,PLoS ONE,10.1371/journal.pone.0314991,"The study involves TKA patients and uses ML (K-means clustering) on gait kinematics, but the abstract does not clearly specify whether the primary outcome is a validated PROM (e.g., KOOS, WOMAC, OKS) or whether the ML model is designed to predict PROMs; the focus appears to be on clustering functional phenotypes based on biomechanics with PROM assessment as a secondary analysis, making it unclear if criterion 3 is fully met.",,,,
29,borderline,2024,Development of a Machine-Learning Model for Anterior Knee Pain After Total Knee Arthroplasty With Patellar Preservation Using Radiological Variables,Maximiliano Barahona; Mauricio Guzmán; Sebastian Cartes; Andrés E Arancibia; Javier E Mora; Macarena Barahona; Daniel González Palma; Jaime Hinzpeter; C Infante; Cristián Barrientos,The Journal of Arthroplasty,10.1016/j.arth.2024.02.006,"The study meets criteria 1 (TKA procedure) and 2 (ML method: Gradient Boosting Classifier), but criterion 3 is ambiguous—while the abstract mentions ""patient-reported outcomes were significantly better"" in those without AKP, it does not explicitly state that a validated PROM (e.g., KOOS, OKS, WOMAC) was the primary or key outcome being predicted by the ML model; the primary outcome appears to be AKP (a binary clinical outcome) predicted from radiological variables",,,,
30,borderline,2024,Personalized Prediction of Pain and Function for Knee Osteoarthritis Patients 1 Year After Total Knee Arthroplasty Using Machine Learning,"Wanglin, Carly",ARTHRITIS & RHEUMATOLOGY,,"No abstract available to verify that all three criteria are met (TKA procedure is likely met from title, but ML method and PROM outcome cannot be confirmed without abstract text).",,,,
31,borderline,2024,"Predicting rapid progression in knee osteoarthritis: a novel and interpretable automated machine learning approach, with specific focus on young patients and early disease",Simone Castagno; Mark Birch; Mihaela van der Schaar; Andrew W. McCaskie,Annals of the Rheumatic Diseases,10.1136/ard-2024-225872,"No abstract available to assess whether the study involves TKA/THA patients, uses ML to predict PROMs (versus structural/imaging progression), and meets all three inclusion criteria.",,,,
32,borderline,2024,"Predictive validity of machine learning vs a consensus-based MRI definition of osteoarthritis combined with radiographic osteoarthritis for the progression of cartilage loss, knee symptoms and total knee replacement",Xing Xing; Yining Wang; Jianan Zhu; Ziyuan Shen; Flavia Cicuttini; Graeme Jones; Dawn Aitken; Guoqi Cai,Osteoarthritis and Cartilage,10.1016/j.joca.2024.02.499,"No abstract available to assess whether the study develops ML models to predict PROMs (criterion 3) following TKA, or whether it focuses on osteoarthritis progression prediction rather than post-arthroplasty outcomes.",,,,
33,borderline,2024,The Relationship Between Activity Captured Using Wearable Sensors and Capability in Patients Undergoing Total Joint Replacement,Eugenia Lin,Journal of Clinical and Medical Surgery,10.52768/2833-5465/1171,"The abstract mentions wearable sensors, PROMs, and total joint replacement (TKA/THA likely included), but does not explicitly state whether an AI/ML model was developed to predict PROMs—it only describes examining ""relationships"" between activity data and capability, which could be purely statistical analysis rather than machine learning.",,,,
34,borderline,2024,UNDERSTANDING AGE AS A RISK FACTOR FOR COMPLICATIONS AFTER TOTAL KNEE ARTHROPLASTY: WHAT CAN WE LEARN FROM MACHINE LEARNING?,Bella Mehta; Yi Yiyuan; Chloe Heiting; Kaylee Ho; Susan M. Goodman; Peter K. Sculco; Fei Wang; Rich Caruana; Peter Cram; Said A. Ibrahim,Osteoarthritis and Cartilage,10.1016/j.joca.2024.02.113,No abstract available to assess whether the study develops ML models to predict PROMs (criterion 2 and 3); title suggests ML is used but does not clarify if PROMs are the primary outcome or only complications are assessed.,,,,
35,borderline,2025,AI-Based Analysis of Post-Surgical Patient Data for Risk Stratification After Total Knee Arthroplasty,Naidu Paila,Journal of Artificial intelligence and Machine Learning,10.55124/jaim.v3i4.295,"The study meets criteria 1 (TKA procedure) and 2 (interpretable machine learning models trained on prospective data), but the abstract does not explicitly state that patient-reported outcomes (PROMs) are the primary or key secondary outcome being predicted—it mentions ""patient-reported outcomes"" were utilized as input data and references ""unfavorable outcomes"" and ""outcome events,"" but does not clarify whether the ML model's primary prediction target is a validated PROM (e.g., KOOS, OKS, WOMAC) or",,,,
36,borderline,2025,AUTOMATED EXTRACTION OF PATIENT-REPORTED PAIN OUTCOMES IN OSTEOARTHRITIS USING PROMPT ENGINEERING OF LARGE LANGUAGE MODELS,"Doshi, J.",ANNALS OF THE RHEUMATIC DISEASES,10.1136/annrheumdis-2025-eular.b3516,"No abstract available to assess whether the study involves TKA/THA patients, develops ML models to predict PROMs (versus merely extracting existing PROM data), and uses appropriate validation methodology.",,,,
37,borderline,2025,Application of Artificial Intelligence and its Subsets in Various Stages of Knee Arthroplasty from Pre-op to Post-op: An Overview,Jacqueline B Anderson Enni; Devendra K. Agrawal,Journal of Orthopaedics and Sports Medicine,10.26502/josm.511500185,"The abstract describes an overview of AI applications across knee arthroplasty stages but does not clearly specify whether the review includes studies predicting patient-reported outcomes (PROMs) using ML/AI models, or whether it focuses on other applications (imaging, surgical assistance, diagnostics) without PROM prediction—making it impossible to confirm criterion 3 from the abstract alone.",,,,
38,borderline,2025,Current Concepts in Artificial Intelligence-Assisted Arthroplasty: A Review of the Perioperative Pathway,Abdelrahman Sayed; Ahmed Elkohail; Ali Soffar; Mohamed Elbanna; Larisa Radu; Mohamed Wasim Shaffe Ahamed; Rhia Shah,Cureus,10.7759/cureus.99946,"The abstract describes AI models predicting PROMs (pain trajectories, dissatisfaction, attainment of minimally clinically important differences) following hip and knee arthroplasty, meeting all three criteria; however, this is a narrative review rather than a primary research study developing or validating specific models, making the study type ambiguous (E4).",,,,
39,borderline,2025,Development of a Machine Learning Model for Determining Alignment in Knees Following Total Knee Arthroplasty,Anoop S Chandrashekar; Yehyun Suh; Jacob A Fox; Aleksander P. Mika; Daniel Moyer; Gregory G. Polkowski; Martin Faschingbauer; J. Ryan Martin,The Journal of Arthroplasty,10.1016/j.arth.2025.06.016,No abstract available to assess whether the study predicts patient-reported outcomes (PROM) versus purely clinical/radiographic alignment outcomes; full text review needed to determine if criterion 3 is met.,,,,
40,borderline,2025,Efficient surrogate-assisted inference for patient-reported outcome measures with complex missing mechanism,Jaeyoung Park; Muxuan Liang; Ying‐Qi Zhao; Xiang Zhong,Electronic Journal of Statistics,10.1214/24-ejs2335,"The abstract describes a statistical methodology for predicting PRO measures with missing data using flexible imputation models (potentially including ML), but does not clearly specify: (1) whether the application involves TKA/THA patients, (2) which specific AI/ML models are used (mentions ""machine learning or nonparametric methods"" generically), or (3) whether the real-world application validates prediction of a specific PROM following arthroplasty. Full text review needed to confirm all three criteria are met.",,,,
41,borderline,2025,Enhanced rehabilitation after total joint replacement using a wearable high-density surface electromyography system,Richard Morsch; Tim Böckenförde; Milan Wolf; Stefan Landgraeber; Daniel J. Strauß,Frontiers in Rehabilitation Sciences,10.3389/fresc.2025.1657543,"The study involves TKA/THA patients and mentions ""promising alignment with patient-reported outcome measures,"" but the abstract does not clearly establish that predicting PROMs is a primary or key secondary outcome, nor does it specify an AI/ML model (HD-sEMG signal processing with feature extraction may constitute ML, but this is ambiguous); full text review needed to confirm whether PROM prediction is a defined objective with validated ML methods.",,,,
42,borderline,2025,High-dimensional item response theory analysis of patient-reported outcomes in total knee arthroplasty,Abel Díaz Berenguer; Matías Nicolás Bossa; Julien Lebleu; Andries Pauwels; Hichem Sahli,npj Digital Medicine,10.1038/s41746-025-01783-z,"The study meets criteria 1 (TKA population) and 3 (PROM outcomes: OKS, EQ-5D-3L), but criterion 2 is ambiguous—while MHIRT is a sophisticated Bayesian statistical model, it is not clearly an AI/ML model in the conventional sense (no mention of random forest, neural networks, gradient boosting, XGBoost, SVM, or deep learning), and the abstract does not explicitly state that PROM prediction is the primary outcome (it emphasizes PR",,,,
43,borderline,2025,Insights From Inputs: Enhancing Revision Total Joint Arthroplasty Resource Allocation With Machine Learning Prediction,Johnathan R. Lex; Bahar Entezari; Aazad Abbas; Jay Toor; David Backstein; Cari Whyne; Bheeshma Ravi,The Journal of Arthroplasty,10.1016/j.arth.2025.04.072,"No abstract available to assess whether the study develops ML models to predict PROMs (criterion 2 and 3) following TKA/THA revision; title suggests resource allocation prediction rather than PROM prediction, but full text review needed to confirm.",,,,
44,borderline,2025,PREDICTING FUNCTIONAL OUTCOMES AFTER TOTAL KNEE ARTHROPLASTY USING MACHINE LEARNING ALGORITHMS,"Lee, J. . T.",ANNALS OF THE RHEUMATIC DISEASES,10.1136/annrheumdis-2025-eular.b53,"No abstract available to verify that all three criteria are met (TKA procedure likely satisfied, but AI/ML method and PROM outcome cannot be confirmed from title alone).",,,,
45,borderline,2025,Pain mechanistic networks: the development using supervised multivariate data analysis and implications for chronic pain,"Giordano, Rocco",PAIN,10.1097/j.pain.0000000000003410,"The study involves TKA patients and uses supervised multivariate analysis (DIABLO), but it is unclear whether DIABLO constitutes a machine learning model for PROM prediction or is primarily a statistical dimensionality reduction/integration technique; the primary outcome appears to be clinical pain intensity rather than a validated PROM like KOOS, though Oxford Knee Score is mentioned as a clinical parameter—full text review needed to clarify the modeling approach and whether PROM prediction is a primary objective.",,,,
46,borderline,2025,Predicting patient outcomes and risk for revision surgery after hip and knee replacement surgery: study protocol for a comparison of modelling approaches using the Swiss National Joint Registry (SIRIS),"Hofstetter, Léonie; Schweyckart, Nathalie; Seiler, Christof; Brand, Christian; Rosella, Laura C; Farshad, Mazda; Puhan, Milo A; Hincapié, Cesar A","Universität Zürich, ZORA",10.5167/uzh-280909,"This is a study protocol that describes planned development and validation of ML models to predict PROMs (pain and satisfaction outcomes) after THA/TKA, meeting criteria 1-3; however, it is a protocol without reported results or data, making it unclear whether the study has been completed and whether actual model performance can be assessed.",,,,
47,borderline,2025,Predicting patient outcomes and risk for revision surgery after hip and knee replacement surgery: study protocol for a comparison of modelling approaches using the Swiss National Joint Registry (SIRIS),Léonie Hofstetter; Nathalie Schweyckart; C. Seiler; Christian Brand; L. Rosella; Mazda Farshad; M. Puhan; C. Hincapié,Diagnostic and Prognostic Research,10.1186/s41512-025-00200-z,"This is a study protocol describing planned development and validation of ML models to predict PROMs (pain and satisfaction outcomes) after THA/TKA, meeting all three criteria in principle; however, as a protocol paper with no actual results, data, or model performance reported, it cannot be assessed for whether the models will actually be developed or validated as intended, making full relevance determination impossible until the results paper is published.",,,,
48,borderline,2025,"Shared decision making using digital twins in knee osteoarthritis care: a randomized clinical trial of an AI-enabled decision aid versus education alone on decision quality, physical function, and user experience",Prakash Jayakumar; Paul J. Rathouz; Eugenia Lin; Zoe Trutner; Lauren M. Uhler; John P. Andrawis; Karl Koenig; Joel Tsevat; Kevin J. Bozic,EClinicalMedicine,10.1016/j.eclinm.2025.103545,"The study uses AI to generate digital twins and personalized predictions for TKA decision-making, but the abstract does not clearly specify whether the primary AI/ML model directly predicts PROMs (criterion 3) or whether PROMs are only secondary outcomes used to evaluate the decision aid's impact on decision quality; the KOOS JR appears to be a secondary outcome measured post-intervention rather than the primary prediction target of the AI model.",,,,
49,borderline,2026,Privacy-preserving federated prediction of health outcomes using multi-center survey data,Supratim Das; Mahdie Rafiei; Paula Kammer; Søren T. Skou; D.T. Grønne; Ewa M. Roos; André Hajek; H. H. König; Md Shihab Ullah; Niklas Probul; Jan Baumbach; Linda Baumbach,BMC Medical Research Methodology,10.1186/s12874-026-02785-5,"The study uses ML methods (random forest, linear regression) on health survey data including GLA:D® (which contains joint arthroplasty patients), but the abstract does not explicitly confirm that TKA/THA patients are the primary population or that PROMs are the primary outcomes being predicted—the health outcomes and datasets are described generically, making it unclear whether criterion 1 (TKA/THA procedure) and criterion 3 (PROM outcome) are definitively met.",,,,
50,borderline,2026,Unsupervised Machine Learning Drives Dynamic Alignment Classification In Navigated Total Knee Arthroplasty,Alexa K. Pius; Prudhvi Tej Chinimilli; Laurent Angibaud; Amaury Jung; Corey A Jackson; James I Huddleston,The Journal of Arthroplasty,10.1016/j.arth.2026.04.091,No abstract available to assess whether the study develops ML models to predict patient-reported outcomes (PROM); the title suggests ML classification of alignment but does not clarify if PROMs are the primary outcome.,,,,
51,include,2018,Predictive Model and Web-based Calculator for the Oxford Hip Score After Total Hip Replacement,Talitha Koo Yen; Adriano Stofel Bispo; Danilo Lopes Paiva; Lucas GG Tiago de Souza; Eloisio B Lopes Neto,Orthopedic & Muscular System,10.4172/2161-0533.1000252,"All three criteria are met: (1) study population underwent THA (total hip replacement); (2) multiple AI/ML models were developed and validated (Gradient Boosting Machines, Boosted Generalized Linear Model, Multivariate Adaptive Regression Splines); (3) primary outcome is Oxford Hip Score, a validated PROM.",,,,
52,include,2019,Can Machine Learning Algorithms Predict Which Patients Will Achieve Minimally Clinically Important Differences From Total Joint Arthroplasty?,"Fontana, Mark Alan",CLINICAL ORTHOPAEDICS AND RELATED RESEARCH,10.1097/corr.0000000000000687,"All three criteria are met: (1) the study population includes TKA and THA patients (7239 hip and 6480 knee TJAs); (2) multiple ML algorithms are developed and validated (logistic LASSO, random forest, linear support vector machine); (3) the primary outcome is PROMs (SF-36 PCS/MCS, HOOS JR, KOOS JR) with prediction of minimally clinically important differences at 2 years post-surgery.",,,,
53,include,2019,Predicting patient-reported outcomes following hip and knee replacement surgery using supervised machine learning,Manuel Huber; Christoph Kurz; Reiner Leidl,BMC Medical Informatics and Decision Making,10.1186/s12911-018-0731-6,"All three criteria are met: (1) the study population underwent THA and TKA; (2) eight supervised ML classifiers including extreme gradient boosting, random forests, and elastic net were developed and validated; (3) the primary outcomes are PROMs (EQ-5D-3L VAS and Oxford Hip/Knee Scores).",,,,
