item_key,title,authors,year,source,doi,decision,reason,model,prompt_version,screened_at
10.1002/ksa.12302,Surgical factors play a critical role in predicting functional outcomes using machine learning in robotic‐assisted total knee arthroplasty,Lisa Spahn Lundgren; Nathalie Willems; Robert Marchand; Cécile Batailler; Sébastien Lustıg,2024,Knee Surgery Sports Traumatology Arthroscopy,10.1002/ksa.12302,include,"All three criteria are met: (1) the study population underwent TKA (robotic-assisted); (2) four machine learning algorithms were developed and evaluated to predict MCID status; and (3) the primary outcomes are PROMs (KOOS-JR, WOMAC Function, WOMAC Pain).",claude-haiku-4-5-20251001,v1-2026-05-20,2026-05-21T14:50:21.715869+00:00
10.1302/0301-620x.98b10.bjj.2016.0473.r1,Gait comparison of unicompartmental and total knee arthroplasties with healthy controls,Gareth G. Jones; Margarita Kotti; A Wiik; R. Collins; M Brevadt; Robin K. Strachan; Justin Cobb,2016,The Bone & Joint Journal,10.1302/0301-620x.98b10.bjj.2016.0473.r1,exclude,"E1 — The study population includes unicompartmental knee arthroplasty (UKA) as the sole procedure for comparison, which is explicitly excluded per the review criteria (only TKA and/or THA are eligible procedures).",claude-haiku-4-5-20251001,v1-2026-05-20,2026-05-21T14:50:21.936270+00:00
10.2196/14523,"Digital Versus Conventional Rehabilitation After Total Hip Arthroplasty: A Single-Center, Parallel-Group Pilot Study",Fernando Dias Correia; André Nogueira; Ivo Magalhães; Joana Guimarães; Maria Moreira; Isabel Barradas; Maria Molinos; Laetitia Teixeira; Joaquim Pires; Rosmaninho Seabra; Jorge Laíns; Virgílio Bento,2019,JMIR Rehabilitation and Assistive Technologies,10.2196/14523,exclude,"The study uses an AI-powered digital biofeedback system for rehabilitation delivery but does not develop, validate, or benchmark an AI/ML model to predict patient-reported outcomes (HOOS); instead, it compares two rehabilitation delivery methods where AI is a tool for intervention, not for outcome prediction (E2).",claude-haiku-4-5-20251001,v1-2026-05-20,2026-05-21T14:50:22.346557+00:00
10.2196/13111,"Medium-Term Outcomes of Digital Versus Conventional Home-Based Rehabilitation After Total Knee Arthroplasty: Prospective, Parallel-Group Feasibility Study",Fernando Dias Correia; André Nogueira; Ivo Magalhães; Joana Guimarães; Maria Moreira; Isabel Barradas; Maria Molinos; Laetitia Teixeira; José Tulha; Rosmaninho Seabra; Jorge Laíns; Virgílio Bento,2019,JMIR Rehabilitation and Assistive Technologies,10.2196/13111,exclude,"The study does not meet criterion 2 (no AI/ML model for prediction); while it uses an AI-powered biofeedback system for rehabilitation delivery, it does not develop or validate an AI/ML model to predict PROMs—it only compares rehabilitation outcomes between two intervention groups.",claude-haiku-4-5-20251001,v1-2026-05-20,2026-05-21T14:50:22.576749+00:00
10.1016/j.arth.2021.02.063,Machine Learning Algorithms Identify Optimal Sagittal Component Position in Total Knee Arthroplasty,Hassan Farooq; Evan R. Deckard; Nicholas R. Arnold; R. Michael Meneghini,2021,The Journal of Arthroplasty,10.1016/j.arth.2021.02.063,exclude,"The study uses machine learning to predict implant position zones, but the primary outcomes are satisfaction scores and the Knee Society Score question about feeling ""normal""—which are not validated patient-reported outcome measures (PROMs) in the standard sense (e.g., KOOS, WOMAC, OKS). These are single satisfaction items rather than comprehensive validated PROM instruments, failing criterion 3 (E3).",claude-haiku-4-5-20251001,v1-2026-05-20,2026-05-21T14:50:23.625186+00:00
10.1097/nnr.0000000000000602,Patient-Reported Outcomes for Function and Pain in Total Knee Arthroplasty Patients,Amanda Agnes Østervig Buus; Flemming Witt Udsen; Britt Laugesen; Anders El‐Galaly; Mogens Berg Laursen; Ole Hejlesen,2022,Nursing Research,10.1097/nnr.0000000000000602,include,"All three criteria are met: (1) procedure is TKA; (2) multiple ML methods are used (random forest, stochastic gradient boosting, support vector machine); (3) primary outcome is a PROM (Oxford Knee Score functional and pain subcomponents).",claude-haiku-4-5-20251001,v1-2026-05-20,2026-05-21T14:50:23.719889+00:00
10.1038/s41598-024-67276-3,Reliable prediction of implant size and axial alignment in AI-based 3D preoperative planning for total knee arthroplasty,Qing Lan; Shulin Li; Jiahao Zhang; Huiling Guo; Laipeng Yan; Faqiang Tang,2024,Scientific Reports,10.1038/s41598-024-67276-3,exclude,"E2 — The study uses AI for preoperative surgical planning (implant size and alignment prediction) but does not develop or validate an AI/ML model to predict patient-reported outcomes; rather, it uses AI planning as an intervention and then measures PROMs (WOMAC, AKS) as secondary outcomes to compare planning methods, which is a clinical application study rather than an AI/ML prediction model study.",claude-haiku-4-5-20251001,v1-2026-05-20,2026-05-21T14:50:24.231608+00:00
10.1177/03635465211024964,Predicting the Risk of Subsequent Hip Surgery Before Primary Hip Arthroscopy for Femoroacetabular Impingement Syndrome: A Machine Learning Analysis of Preoperative Risk Factors in Hip Preservation,Heather S. Haeberle; Prem N. Ramkumar; Jaret M. Karnuta; Spencer W. Sullivan; Ernest L. Sink; Bryan T. Kelly; Anil S. Ranawat; Benedict U. Nwachukwu,2021,The American Journal of Sports Medicine,10.1177/03635465211024964,exclude,"The study uses machine learning to predict the need for reoperation (a clinical outcome), not to predict patient-reported outcome measures themselves post-operatively; additionally, the primary procedure is hip arthroscopy for FAIS, not TKA or THA (criterion E1 — wrong procedure as primary index surgery).",claude-haiku-4-5-20251001,v1-2026-05-20,2026-05-21T14:50:24.706594+00:00
10.1016/j.gaitpost.2018.08.026,Pre-operative sensor-based gait parameters predict functional outcome after total knee arthroplasty,Felix Kluge; Julius Hannink; Cristian Pasluosta; Jochen Klucken; Heiko Gaßner; Kolja Gelse; Bjoern M. Eskofier; Sebastian Krinner,2018,Gait & Posture,10.1016/j.gaitpost.2018.08.026,borderline,"The study meets criteria 1 (TKA) and 2 (machine learning used), but criterion 3 is ambiguous—while PROMs improved significantly post-operatively, the primary outcome appears to be gait function (a clinical outcome), and it is unclear whether PROM prediction was the primary or key secondary outcome versus gait-based responder classification.",claude-haiku-4-5-20251001,v1-2026-05-20,2026-05-21T14:50:25.627474+00:00
10.1186/s12911-024-02602-3,Second opinion machine learning for fast-track pathway assignment in hip and knee replacement surgery: the use of patient-reported outcome measures,Andrea Campagner; Frida Milella; Giuseppe Banfi; Federico Cabitza,2024,BMC Medical Informatics and Decision Making,10.1186/s12911-024-02602-3,include,"All three criteria are met: (1) the study population underwent hip and knee arthroplasty (THA/TKA); (2) machine learning models were developed and validated (Random Forest, interpretable models, cautious prediction); (3) the primary outcome is patient-reported outcome measures (PROMs) used to predict health status improvement and support fast-track pathway assignment.",claude-haiku-4-5-20251001,v1-2026-05-20,2026-05-21T14:50:25.823275+00:00
10.1016/j.knee.2023.08.018,"The development of machine learning algorithms that can predict patients satisfaction using baseline characteristics, and preoperative and operative factors of total knee arthroplasty",Hee Seung Nam; Jade Pei Yuik Ho; Seong Yun Park; Joon Hee Cho; Yong Seuk Lee,2023,The Knee,10.1016/j.knee.2023.08.018,include,"All three criteria are met: (1) the study population underwent primary TKA; (2) the study develops and validates ML models including XGBoost and logistic regression as a baseline; (3) the primary outcome is patient satisfaction following TKA, which is a PROM, with SF-36 and WOMAC explicitly mentioned as key predictive features.",claude-haiku-4-5-20251001,v1-2026-05-20,2026-05-21T14:50:25.844230+00:00
10.1016/j.ard.2025.01.012,Deep learning–based clustering for endotyping and post-arthroplasty response classification using knee osteoarthritis multiomic data,Jason S. Rockel; Divya Sharma; Osvaldo Espin‐Garcia; Katrina Hueniken; Amit Sandhu; Chiara Pastrello; Kala Sundararajan; Pratibha Potla; Noah Fine; Starlee S. Lively; Kim Perry; Nizar N. Mahomed; Khalid Syed; Igor Jurišica; Anthony V. Perruccio; Y. Raja Rampersaud; Rajiv Gandhi; Mohit Kapoor,2025,Annals of the Rheumatic Diseases,10.1016/j.ard.2025.01.012,include,"All three criteria are met: (1) study population underwent TKA; (2) multimodal deep learning variational autoencoder with K-means clustering and machine learning framework employed; (3) primary outcome is WOMAC pain/function response classification post-TKA, which is a validated PROM.",claude-haiku-4-5-20251001,v1-2026-05-20,2026-05-21T14:50:25.889274+00:00
10.1038/s41746-024-01265-8,Identifying who are unlikely to benefit from total knee arthroplasty using machine learning models,Xiaodi Liu; Yingnan Liu; Mong Li Lee; Wynne Hsu; Ming Han Lincoln Liow,2024,npj Digital Medicine,10.1038/s41746-024-01265-8,include,"All three criteria are met: (1) procedure is TKA; (2) machine learning models are developed and validated (image-only, clinical-data only, and multimodal); (3) primary outcomes are patient-reported measures (KSS, SF-36 with PCS/MCS, and OKS).",claude-haiku-4-5-20251001,v1-2026-05-20,2026-05-21T14:50:26.823466+00:00
10.1016/j.asjsur.2023.05.107,Correlation between Harris hip score and gait analysis through artificial intelligence pose estimation in patients after total hip arthroplasty,Sang-Yeob Lee; Seong Jin Park; Jeong‐An Gim; Yang Jae Kang; Sung Hoon Choi; Sung‐Hyo Seo; Shin June Kim; Seung Chan Kim; Hyeon Su Kim; Jun‐Il Yoo,2023,Asian Journal of Surgery,10.1016/j.asjsur.2023.05.107,include,"All three criteria are met: (1) procedure is THA (total hip arthroplasty); (2) method includes AI/ML models (random forest, K-means clustering, PCA); (3) primary outcome is Harris Hip Score (HHS), which is a validated patient-reported outcome measure for hip function.",claude-haiku-4-5-20251001,v1-2026-05-20,2026-05-21T14:50:27.298171+00:00
10.1136/bmjopen-2021-055933,Incorporating patient-reported outcomes into shared decision-making in the management of patients with osteoarthritis of the knee: a hybrid effectiveness-implementation study protocol,Eugenia Lin; Lauren M. Uhler; Erin P. Finley; Prakash Jayakumar; Paul J. Rathouz; Kevin J. Bozic; Joel Tsevat,2022,BMJ Open,10.1136/bmjopen-2021-055933,exclude,"This is a study protocol (E4) describing a planned hybrid effectiveness-implementation study; it does not present actual data on AI/ML model development, validation, or performance for predicting PROMs following TKA, and therefore does not meet the criteria for a completed empirical study relevant to the systematic review.",claude-haiku-4-5-20251001,v1-2026-05-20,2026-05-21T14:50:27.311942+00:00
10.4172/2161-0533.1000252,Predictive Model and Web-based Calculator for the Oxford Hip Score After Total Hip Replacement,Talitha Koo Yen; Adriano Stofel Bispo; Danilo Lopes Paiva; Lucas GG Tiago de Souza; Eloisio B Lopes Neto,2018,Orthopedic & Muscular System,10.4172/2161-0533.1000252,include,"All three criteria are met: (1) study population underwent THA (total hip replacement); (2) multiple AI/ML models were developed and validated (Gradient Boosting Machines, Boosted Generalized Linear Model, Multivariate Adaptive Regression Splines); (3) primary outcome is Oxford Hip Score, a validated PROM.",claude-haiku-4-5-20251001,v1-2026-05-20,2026-05-21T14:50:28.637364+00:00
10.1016/j.artd.2024.101394,Automating Linear and Angular Measurements for the Hip and Knee After Computed Tomography: Validation of a Three-Stage Deep Learning and Computer Vision-Based Pipeline for Pathoanatomic Assessment,Faizaan R. Vidhani; J. Woo; Yibin B. Zhang; Reena Olsen; Prem N Ramkumar,2024,Arthroplasty Today,10.1016/j.artd.2024.101394,exclude,"E3 — The study develops AI/ML models for automated CT measurements (classification and segmentation) but does not predict or evaluate patient-reported outcome measures (PROMs) as a primary or key secondary outcome; the abstract mentions PROMs only as a future consideration, not as an actual outcome measured in this study.",claude-haiku-4-5-20251001,v1-2026-05-20,2026-05-21T14:50:28.864078+00:00
10.1186/s12891-024-07441-x,Factors to improve odds of success following medial opening-wedge high tibial osteotomy: a machine learning analysis,Hong-Yeol Yang; Yong Gwan Shin; Hyunho Shin; Ji‐Hoon Choi; Jong‐Keun Seon,2024,BMC Musculoskeletal Disorders,10.1186/s12891-024-07441-x,exclude,"E1 — The study focuses on high tibial osteotomy (HTO), not total knee arthroplasty (TKA) or total hip arthroplasty (THA). Although TKA conversion is mentioned as an outcome, the primary procedure studied is osteotomy, which is explicitly excluded from the review criteria.",claude-haiku-4-5-20251001,v1-2026-05-20,2026-05-21T14:50:29.448444+00:00
10.1016/j.otsr.2024.103842,Prediction of postoperative gait speed change after bilateral primary total knee arthroplasty in female patients using a machine learning algorithm,Do Weon Lee; Hyuk‐Soo Han; Myung Chul Lee; Du Hyun Ro,2024,Orthopaedics & Traumatology Surgery & Research,10.1016/j.otsr.2024.103842,exclude,"The primary outcome is gait speed change (a biomechanical/functional measure), not a validated patient-reported outcome measure (PROM). Although WOMAC and Knee Society scores are mentioned, they appear to be secondary comparisons between groups rather than the primary prediction target of the ML model, which focuses on predicting gait speed change (criterion 3 not met).",claude-haiku-4-5-20251001,v1-2026-05-20,2026-05-21T14:50:29.777430+00:00
10.1007/s00264-022-05651-3,An orthopaedic intelligence application successfully integrates data from a smartphone-based care management platform and a robotic knee system using a commercial database,Jess H. Lonner; Mike B. Anderson; Roberta E. Redfern; Dave Van Andel; James C. Ballard; Sébastien Parratte,2022,International Orthopaedics,10.1007/s00264-022-05651-3,borderline,No abstract available to assess whether the study develops/validates ML models for predicting PROMs following TKA; title suggests smartphone-based care management and robotic knee system integration but does not clarify if AI/ML models predict patient-reported outcomes.,claude-haiku-4-5-20251001,v1-2026-05-20,2026-05-21T14:50:30.508569+00:00
10.1016/j.arth.2023.09.027,Using Unsupervised Machine Learning to Predict Quality of Life After Total Knee Arthroplasty,Jennifer Hunter; Farzan Soleymani; Herna L. Viktor; Wojtek Michalowski; Stéphane Poitras; Paul E. Beaulé,2023,The Journal of Arthroplasty,10.1016/j.arth.2023.09.027,include,"All three criteria are met: (1) study population underwent TKA; (2) unsupervised machine learning algorithm (spectral clustering) was used; (3) primary outcome is PROMIS GH-P, a validated patient-reported outcome measure.",claude-haiku-4-5-20251001,v1-2026-05-20,2026-05-21T14:50:30.527619+00:00
10.1302/2633-1462.611.bjo-2025-0138.r1,Prediction of quality-of-life improvement after total hip arthroplasty,M. Abdulhadi Alagha; Justin Cobb; Alexander D. Liddle; Henrik Malchau; Maziar Mohaddes; Ola Rolfson,2025,Bone & Joint Open,10.1302/2633-1462.611.bjo-2025-0138.r1,include,"All three criteria are met: (1) procedure is primary elective THA; (2) machine learning models (gradient boosting machine and others) are developed and validated; (3) primary outcomes are PROMs (EQ-5D index, EQ-VAS) with validated patient-reported measures.",claude-haiku-4-5-20251001,v1-2026-05-20,2026-05-21T14:50:31.495228+00:00
10.1097/js9.0000000000002223,ChatGPT’s role in alleviating anxiety in total knee arthroplasty consent process: a randomized controlled trial pilot study,Wenyi Gan; Jianfeng Ouyang; Guorong She; Zhaowen Xue; Lingxuan Zhu; Anqi Lin; Weiming Mou; Aimin Jiang; Qi Chang; Quan Cheng; Peng Luo; Hua Li; Xiaofei Zheng,2025,International Journal of Surgery,10.1097/js9.0000000000002223,exclude,"This study fails criterion 2 (no AI/ML model for prediction) — ChatGPT is used as an educational tool during consent, not to develop or validate a machine learning model that predicts patient-reported outcomes; the study measures anxiety and satisfaction as intervention effects, not as outcomes predicted by an ML model.",claude-haiku-4-5-20251001,v1-2026-05-20,2026-05-21T14:50:31.709195+00:00
10.1186/s13063-022-07039-5,"An AI-based patient-specific clinical decision support system for OA patients choosing surgery or not: study protocol for a single-centre, parallel-group, non-inferiority randomised controlled trial",Nanna Kastrup; Helene H. Bjerregaard; Mogens Berg Laursen; Jan Brink Valentin; Søren Paaske Johnsen; Cathrine Elgaard Jensen,2023,Trials,10.1186/s13063-022-07039-5,borderline,"This is a study protocol for a randomized controlled trial using an AI system (ERVIN.2) to predict Oxford hip/knee scores and HRQoL for TKA/THA patients; while the protocol describes PROM outcomes (Oxford scores, EQ-5D-3L) and AI-based prediction, it is a protocol document without actual results, making it unclear whether the AI model's predictive accuracy for PROMs will be formally evaluated as a primary analysis.",claude-haiku-4-5-20251001,v1-2026-05-20,2026-05-21T14:50:32.425374+00:00
10.55124/jaim.v3i4.295,AI-Based Analysis of Post-Surgical Patient Data for Risk Stratification After Total Knee Arthroplasty,Naidu Paila,2025,Journal of Artificial intelligence and Machine Learning,10.55124/jaim.v3i4.295,borderline,"The study meets criteria 1 (TKA procedure) and 2 (interpretable machine learning models trained on prospective data), but the abstract does not explicitly state that patient-reported outcomes (PROMs) are the primary or key secondary outcome being predicted—it mentions ""patient-reported outcomes"" were utilized as input data and references ""unfavorable outcomes"" and ""outcome events,"" but does not clarify whether the ML model's primary prediction target is a validated PROM (e.g., KOOS, OKS, WOMAC) or",claude-haiku-4-5-20251001,v1-2026-05-20,2026-05-21T14:50:32.538176+00:00
10.3390/bioengineering11080824,Assessing the Value of Imaging Data in Machine Learning Models to Predict Patient-Reported Outcome Measures in Knee Osteoarthritis Patients,Abhinav Nair; M. Abdulhadi Alagha; Justin Cobb; Gareth G. Jones,2024,Bioengineering,10.3390/bioengineering11080824,exclude,"Criterion 1 (procedure) not met — the study population has knee osteoarthritis and some underwent total knee replacement, but the abstract does not confirm that all or the primary cohort underwent TKA; the focus is on OA patients from observational databases (OAI, MOST) rather than a TKA/THA surgical cohort.",claude-haiku-4-5-20251001,v1-2026-05-20,2026-05-21T14:50:33.177909+00:00
10.1302/2046-3758.129.bjr-2023-0070.r2,Predicting whether patients will achieve minimal clinically important differences following hip or knee arthroplasty,Benedikt Langenberger; Daniel Schrednitzki; Andreas M. Halder; Reinhard Busse; Christoph Pross,2023,Bone and Joint Research,10.1302/2046-3758.129.bjr-2023-0070.r2,include,"All three criteria are met: (1) study population underwent TKA and THA (primary procedures); (2) multiple AI/ML models were developed and validated including artificial neural networks, gradient boosting, random forest, LASSO, ridge regression, elastic net, and logistic regression as baseline; (3) primary outcomes are PROMs (EQ-5D-5L, EQ-VAS, HOOS-PS, KOOS-PS) with prediction of MCID achievement as the key secondary outcome.",claude-haiku-4-5-20251001,v1-2026-05-20,2026-05-21T14:50:33.582252+00:00
10.1016/j.arth.2020.09.055,Natural Language Processing of Patient-Experience Comments After Primary Total Knee Arthroplasty,Patawut Bovonratwet; Tony S. Shen; Wasif Islam; Michael P. Ast; Steven B. Haas; Edwin P. Su,2020,The Journal of Arthroplasty,10.1016/j.arth.2020.09.055,include,All three criteria are met: (1) primary TKA procedure; (2) machine-learning-based natural language processing applied to patient comments; (3) patient-reported outcome measures (KOOS Junior and pain scores) are analyzed as key outcomes alongside satisfaction data.,claude-haiku-4-5-20251001,v1-2026-05-20,2026-05-21T14:50:33.642156+00:00
10.2106/jbjs.24.01420,"Value-Based Care in Orthopaedic Surgery: Outcomes, Costing, and Policy Updates",Rebekah M. Kleinsmith; Haley D. Puckett; Brian P. Cunningham,2025,Journal of Bone and Joint Surgery,10.2106/jbjs.24.01420,exclude,"E2 — The abstract discusses machine learning and AI in general terms for value-based care but does not describe development, validation, or benchmarking of any specific AI/ML model to predict PROMs; it is a policy/review article rather than a methodological study with actual model development.",claude-haiku-4-5-20251001,v1-2026-05-20,2026-05-21T14:50:33.993297+00:00
10.1038/s41598-025-88560-w,Biopsychosocial based machine learning models predict patient improvement after total knee arthroplasty,Karen Ribbons; Jodie A. Cochrane; Sarah J. Johnson; Adrian Wills; Elizabeth Ditton; David Dewar; Matthew Broadhead; Ian Chan; Michael F. Dixon; Christopher James Dunkley; Richard Harbury; Aleksandar Jovanović; Anthony Leong; Peter Summersell; Chad Todhunter; Richard Verheul; Michael Pollack; Rohan Walker; Michael Nilsson,2025,Scientific Reports,10.1038/s41598-025-88560-w,include,All three criteria are met: (1) procedure is TKA; (2) machine learning methods (Bayesian inference and machine learning models) are used; (3) primary outcomes are PROMs (SF-12 Physical Composite Score and WOMAC) measuring patient improvement at three months post-TKA.,claude-haiku-4-5-20251001,v1-2026-05-20,2026-05-21T14:50:34.837035+00:00
10.1186/s13018-025-06208-x,AI-assisted 3D versus conventional 2D preoperative planning in total hip arthroplasty for Crowe type II–IV high hip dislocation: a two-year retrospective study,Zhenbao Lu; Cuihua Yuan; Qingshan Xu; Yuhua Feng; Qiujin Xia; Xiaolu Wang; Jianfu Zhu; Jinqing Wu; Tihui Wang; Jiliang Chen; Xu Wang; Q. Wang,2025,Journal of Orthopaedic Surgery and Research,10.1186/s13018-025-06208-x,exclude,"E3 — While the study involves THA and uses AI for preoperative planning, the primary outcomes are implant size prediction accuracy and surgical technical measures (operative time, blood loss, implant positioning), not patient-reported outcomes. Although WOMAC, HHS, and VAS are measured as secondary outcomes, the abstract explicitly states ""No significant differences were observed in HHS, WOMAC, or VAS scores between groups,"" indicating these PROMs were not the focus of the analysis and showed no meaningful differences, making this primarily a study of surgical technical outcomes rather than",claude-haiku-4-5-20251001,v1-2026-05-20,2026-05-21T14:50:35.679035+00:00
10.3390/s25216657,Smart Total Knee Replacement: Recognition of Activities of Daily Living Using Embedded IMU Sensors and a Novel AI Model in a Cadaveric Proof-of-Concept Study,Lipalo Mokete; Alexander Conway; Emma Donnelly; Ryan Willing,2025,Sensors,10.3390/s25216657,exclude,"The study uses AI/ML (deep learning) and involves TKA, but does not predict patient-reported outcome measures (PROMs); instead, it predicts activities of daily living recognition from IMU sensor data, which is a clinical/functional outcome, not a PROM like KOOS, OKS, WOMAC, or similar validated patient-reported instruments (E3).",claude-haiku-4-5-20251001,v1-2026-05-20,2026-05-21T14:50:35.709974+00:00
