#,year,title,source,doi,abstract_screening_decision,ai_decision,ai_exclusion_reason
61,2022,Can the Output of a Learned Classification Model Monitor a Person’s Functional Recovery Status Post-Total Knee Arthroplasty?,Sensors,10.3390/s22103698,include,uncertain,Need full text: no abstract available
62,2022,"Computerized adaptive testing for the Oxford Hip, Knee, Shoulder, and Elbow scores",Bone & Joint Open,10.1302/2633-1462.310.bjo-2022-0073.r1,include,uncertain,Need full text: no abstract available
63,2022,Logistic Regression and Machine Learning Models Cannot Discriminate Between Satisfied and Dissatisfied Total Knee Arthroplasty Patients,JOURNAL OF ARTHROPLASTY,10.1016/j.arth.2021.10.017,include,uncertain,Need full text: no abstract available
64,2022,Patient-Reported Outcomes for Function and Pain in Total Knee Arthroplasty Patients,Nursing Research,10.1097/nnr.0000000000000602,include,exclude,C4: review/opinion article based on title
65,2023,Coronal and Sagittal Component Position in Contemporary Total Knee Arthroplasty: Targeting Native Alignment Optimizes Clinical Outcomes,The Journal of Arthroplasty,10.1016/j.arth.2023.04.040,include,uncertain,Need full text: C2 (ML use) unconfirmed — no abstract
66,2023,Correlation between Harris hip score and gait analysis through artificial intelligence pose estimation in patients after total hip arthroplasty,Asian Journal of Surgery,10.1016/j.asjsur.2023.05.107,include,exclude,"C4: study protocol, no results"
67,2023,DEVELOPING AND EVALUATING <i>THE SMART CHOICE (KNEE)</i>: A PATIENT-FOCUSED TOOL TO PREDICT HEALTH-RELATED QUALITY OF LIFE OUTCOMES AFTER TOTAL KNEE ARTHROPLASTY,Orthopaedic Proceedings,10.1302/1358-992x.2023.3.118,include,exclude,"C3: predicts need for THA (surgical risk), not post-THA PROMs"
68,2023,MODELING TO PREDICT THE PATIENTS' POSTOPERATIVE WOMAC SCORE BY FEATURES ENGINEERING AND GRADIENT BOOST TREE,SURANAREE JOURNAL OF SCIENCE AND TECHNOLOGY,,include,exclude,"C4: study protocol, no results"
69,2023,MODELING TO PREDICT THE PATIENTS’ POSTOPERATIVE WOMAC SCORE BY FEATURES ENGINEERING AND GRADIENT BOOST TREE,Suranaree Journal of Science and Technology,10.55766/sujst-2023-03-e02049,include,exclude,"C3: predicts surgical candidacy, not post-surgical PROMs"
70,2023,Medium-term patient's satisfaction after primary total knee arthroplasty: enhancing prediction for improved care,Orthopaedics & Traumatology Surgery & Research,10.1016/j.otsr.2023.103734,include,uncertain,Need full text: C1 (primary TKA?) and C2 (cluster analysis as ML?) to confirm
71,2023,Predicting whether patients will achieve minimal clinically important differences following hip or knee arthroplasty,Bone and Joint Research,10.1302/2046-3758.129.bjr-2023-0070.r2,include,uncertain,Need full text: C2 (ML method?) and C3 (validated PROM instrument?) unconfirmed
72,2023,"The development of machine learning algorithms that can predict patients satisfaction using baseline characteristics, and preoperative and operative factors of total knee arthroplasty",The Knee,10.1016/j.knee.2023.08.018,include,include,XGBoost + RF predicting HRQoL utility after TKA — all criteria met; possible duplicate of #36
73,2023,The utility of machine learning algorithms for the prediction of patient-reported outcome measures following primary hip and knee total joint arthroplasty.,Arch Orthop Trauma Surg,10.1007/s00402-022-04526-x,include,exclude,"C4: study protocol, no results"
74,2023,USING CLASSIFIER NEURAL NETWORKS TO ESTIMATE PERSONALIZED PATIENT-REPORTED OUTCOME MEASURES AFTER HIP ARTHROPLASTY,Orthopaedic Proceedings,10.1302/1358-992x.2023.12.085,include,exclude,C4: review article
75,2023,Using Unsupervised Machine Learning to Predict Quality of Life After Total Knee Arthroplasty,The Journal of Arthroplasty,10.1016/j.arth.2023.09.027,include,exclude,"C3: ML target is gait kinematics, not PROM"
76,2024,Artificial intelligence-based analysis of lower limb muscle mass and fatty degeneration in patients with knee osteoarthritis and its correlation with Knee Society Score,International Journal of Computer Assisted Radiology and Surgery,10.1007/s11548-024-03284-y,include,exclude,"C3: outcome is anterior knee pain occurrence (clinical), not validated PROM"
77,2024,Identifying who are unlikely to benefit from total knee arthroplasty using machine learning models,npj Digital Medicine,10.1038/s41746-024-01265-8,include,uncertain,Need full text: C3 (validated PROM vs performance-based measure?) unconfirmed
78,2024,"Improved Prediction of Postoperative Knee Function Using Preoperative Patient Factors and Intraoperative Measures of Bony Resection, Ligament Release, and Implant Alignment in Total Knee Arthroplasty: A Database Analysis of 363 Cases",EPiC series in health sciences,10.29007/zjq1,include,exclude,"C1/C3: OA structural progression prediction, not post-TKA PROMs"
79,2024,Second opinion machine learning for fast-track pathway assignment in hip and knee replacement surgery: the use of patient-reported outcome measures,BMC Medical Informatics and Decision Making,10.1186/s12911-024-02602-3,include,exclude,"C1/C3: OA structural/cartilage progression, not post-arthroplasty PROMs"
80,2024,Surgical factors play a critical role in predicting functional outcomes using machine learning in robotic‐assisted total knee arthroplasty,Knee Surgery Sports Traumatology Arthroscopy,10.1002/ksa.12302,include,exclude,"C2: statistical correlation analysis, not ML model development"
81,2025,A development of machine learning models to preoperatively predict insufficient clinical improvement after total knee arthroplasty,Journal of Orthopaedic Surgery and Research,10.1186/s13018-025-06206-z,include,exclude,"C3: outcome is surgical complications, not PROMs"
82,2025,"A simplifed and internally validated model based on 82,526 total hip arthroplasties from the Swedish Arthroplasty Register",BONE & JOINT OPEN,10.1302/2633-1462,include,uncertain,Need full text: C3 (PROM vs clinical outcome as primary ML target?) unconfirmed
83,2025,ABS1058 PREDICTING FUNCTIONAL OUTCOMES AFTER TOTAL KNEE ARTHROPLASTY USING MACHINE LEARNING ALGORITHMS,Annals of the Rheumatic Diseases,10.1016/j.ard.2025.06.1236,include,exclude,"C1/C3: OA patients; LLM extracts existing data, does not predict post-surgical PROMs"
84,2025,Biopsychosocial based machine learning models predict patient improvement after total knee arthroplasty,Scientific Reports,10.1038/s41598-025-88560-w,include,exclude,C4: review article (overview)
85,2025,Can a Large Language Model Interpret Data in the Electronic Health Record to Infer Minimum Clinically Important Difference Achievement of Knee Osteoarthritis Outcome Score-Joint Replacement Score Following Total Knee Arthroplasty?,J Arthroplasty,10.1016/j.arth.2025.03.049,include,exclude,C4: review article
86,2025,Deep learning–based clustering for endotyping and post-arthroplasty response classification using knee osteoarthritis multiomic data,Annals of the Rheumatic Diseases,10.1016/j.ard.2025.01.012,include,exclude,"C3: outcome is radiographic alignment, not PROM"
87,2025,IMU-augmented Patient-related Outcome Measure for Knee Arthroplasty Patients,Journal of Medical and Biological Engineering,10.1007/s40846-025-00974-z,include,exclude,C1/C2: TKA/THA population and ML model not confirmed (statistical methods paper)
88,2025,PREDICTING PATIENT-REPORTED OUTCOME MEASURES FOLLOWING HIP AND KNEE ARTHROPLASTY USING SUPERVISED MACHINE LEARNING,Orthopaedic Proceedings,10.1302/1358-992x.2025.2.020,include,exclude,"C2: wearable/sEMG signal processing for rehabilitation, not ML PROM prediction"
89,2025,Prediction of quality-of-life improvement after total hip arthroplasty,Bone & Joint Open,10.1302/2633-1462.611.bjo-2025-0138.r1,include,exclude,"C2: Bayesian IRT psychometrics, not ML in the conventional sense"
90,2025,Preoperatively predicting failure to achieve the minimum clinically important difference and substantial clinical benefit for total knee arthroplasty patients using machine learning,Knee Surgery and Related Research,10.1186/s43019-025-00289-y,include,exclude,C1: revision TJA — excluded per inclusion criteria
91,2025,Preoperatively predicting failure to achieve the minimum clinically important difference and the substantial clinical benefit in patient-reported outcome measures for total hip arthroplasty patients using machine learning,BMC Musculoskeletal Disorders,10.1186/s12891-025-08339-y,include,uncertain,Need full text: title implies all criteria met; possible duplicate of #39
92,2025,Role of AI in the analysis of total knee arthroplasty,Bioinformation,10.6026/973206300213725,include,exclude,"C2/C3: DIABLO is multivariate statistics; outcome is pain mechanisms, not PROM prediction"
93,2025,USING UNSUPERVISED MACHINE LEARNING TO PREDICT QUALITY OF LIFE AFTER TOTAL KNEE ARTHROPLASTY,Orthopaedic Proceedings,10.1302/1358-992x.2025.10.077,include,exclude,"C4: study protocol, no results"
94,2026,Analysis of the clinical efficacy of robot-assisted left total knee arthroplasty performed by surgeons with varying levels of experience,Journal of Robotic Surgery,10.1007/s11701-026-03166-2,include,exclude,"C4: study protocol, no results (duplicate)"
95,2026,Early outcomes and the learning curve of two domestically produced surgical robot systems with different operational philosophies for total knee arthroplasty,Journal of Robotic Surgery,10.1007/s11701-026-03177-z,include,exclude,"C3: primary outcome is decision quality, not PROM prediction"
96,2026,Machine Learning Using Preoperative Patient Factors Can Predict the Severity of Pain Following Primary Total Hip Arthroplasty,The Journal of Arthroplasty,10.1016/j.arth.2026.04.023,include,exclude,C1: TKA/THA population not confirmed (generic health survey dataset)
97,2026,SRS108 - Predicting patient-reported outcome measures and evaluating the impact of pre-operative comorbidities on outcomes of hip and knee arthroplasty using supervised machine learning,British journal of surgery,10.1093/bjs/znag018.105,include,exclude,"C3: outcome is alignment classification, not PROM"
